New log file - 2025-05-26 03:30:19
================================ Calibration ================================
Calibration data filenames: ['P4_S18/anonymized/auditoryAphasia_HP_350_Block1_Run1.vhdr', 'P4_S18/anonymized/auditoryAphasia_HP_350_Block1_Run2.vhdr', 'P4_S18/anonymized/auditoryAphasia_HP_350_Block1_Run3.vhdr', 'P4_S18/anonymized/auditoryAphasia_HP_350_Block1_Run4.vhdr', 'P4_S18/anonymized/auditoryAphasia_HP_350_Block1_Run5.vhdr', 'P4_S18/anonymized/auditoryAphasia_HP_350_Block1_Run6.vhdr', 'P4_S18/anonymized/auditoryAphasia_HP_350_Block2_Run1.vhdr', 'P4_S18/anonymized/auditoryAphasia_HP_350_Block2_Run2.vhdr', 'P4_S18/anonymized/auditoryAphasia_HP_350_Block2_Run3.vhdr', 'P4_S18/anonymized/auditoryAphasia_HP_350_Block2_Run4.vhdr', 'P4_S18/anonymized/auditoryAphasia_HP_350_Block2_Run5.vhdr', 'P4_S18/anonymized/auditoryAphasia_HP_350_Block2_Run6.vhdr', 'P4_S18/anonymized/auditoryAphasia_HP_350_Block3_Run1.vhdr', 'P4_S18/anonymized/auditoryAphasia_HP_350_Block3_Run2.vhdr', 'P4_S18/anonymized/auditoryAphasia_HP_350_Block3_Run3.vhdr', 'P4_S18/anonymized/auditoryAphasia_HP_350_Block3_Run4.vhdr', 'P4_S18/anonymized/auditoryAphasia_HP_350_Block3_Run5.vhdr', 'P4_S18/anonymized/auditoryAphasia_HP_350_Block3_Run6.vhdr']
------------------------- Preprocessing configurations -------------------------
filter_band: (0.5, 16)
non_eeg_channels: ['EOGvu', 'x_EMGl', 'x_GSR', 'x_Respi', 'x_Pulse', 'x_Optic']
decimate: 10
montage: standard_1020
filter_method: iir
only_eeg: True
tmin: -0.2
tmax: 1
baseline: None
channels_to_discard: ['AF7', 'AF3', 'AF4', 'AF8', 'F5', 'F1', 'F2', 'F6', 'FT7', 'FC3', 'FCz', 'FC4', 'FT8', 'C5', 'C1', 'C2', 'C6', 'TP7', 'CP3', 'CPz', 'CP4', 'TP8', 'P5', 'P1', 'P2', 'P6', 'PO7', 'PO5', 'POz', 'PO6', 'PO8', 'Oz']
channels: ['Fp1', 'Fp2', 'F3', 'F4', 'C3', 'C4', 'P3', 'P4', 'O1', 'O2', 'F7', 'F8', 'T7', 'T8', 'P7', 'P8', 'Fz', 'Cz', 'Pz', 'FC1', 'FC2', 'CP1', 'CP2', 'FC5', 'FC6', 'CP5', 'CP6', 'F9', 'F10', 'P9', 'P10']
fs: 100.0
------------------------- Feature extraction -------------------------
time_interval_boundaries: [0.1 0.2 0.3 0.4 0.5]
data_is_channel_prime: True
X.shape (epochs, features): (8496, 124)
y.shape (epochs,): (8496,)
----------------------------------------------------------------------
n_calibration_trials: 108
n_calibration_epochs: 8496
with the per-run iteration structure:
[[ 8 10  8 15  8 15]
 [15 15  9 15 15 15]
 [10 15  8 14 15 15]
 [15 15 15  9 15  9]
 [15 15 15 13 15 15]
 [15  9 15 15 15  8]
 [15  8 15 15 15  8]
 [15 15  8 15 15 15]
 [15 15 15 15 15 15]
 [15  8 15 15 15 15]
 [10 15 10 15 15 15]
 [15 15 15 15 15 14]
 [ 8  8 10 15 15 15]
 [ 9  8 15 15  8 15]
 [ 8 15 15 15 15  9]
 [ 8 15  8 15 14  9]
 [11 13 15  8 11 15]
 [15 15 15 15 15 12]]
Trained all three classifiers on the calibration data.
================================ Online ================================
Online data filenames: ['P4_S19/anonymized/auditoryAphasia_HP_350_Block1_Run1.vhdr', 'P4_S19/anonymized/auditoryAphasia_HP_350_Block1_Run2.vhdr', 'P4_S19/anonymized/auditoryAphasia_HP_350_Block1_Run3.vhdr', 'P4_S19/anonymized/auditoryAphasia_HP_350_Block1_Run4.vhdr', 'P4_S19/anonymized/auditoryAphasia_HP_350_Block1_Run5.vhdr', 'P4_S19/anonymized/auditoryAphasia_HP_350_Block1_Run6.vhdr', 'P4_S19/anonymized/auditoryAphasia_HP_350_Block2_Run1.vhdr', 'P4_S19/anonymized/auditoryAphasia_HP_350_Block2_Run2.vhdr', 'P4_S19/anonymized/auditoryAphasia_HP_350_Block2_Run3.vhdr', 'P4_S19/anonymized/auditoryAphasia_HP_350_Block2_Run4.vhdr', 'P4_S19/anonymized/auditoryAphasia_HP_350_Block2_Run5.vhdr', 'P4_S19/anonymized/auditoryAphasia_HP_350_Block2_Run6.vhdr', 'P4_S19/anonymized/auditoryAphasia_HP_350_Block3_Run1.vhdr', 'P4_S19/anonymized/auditoryAphasia_HP_350_Block3_Run2.vhdr', 'P4_S19/anonymized/auditoryAphasia_HP_350_Block3_Run3.vhdr', 'P4_S19/anonymized/auditoryAphasia_HP_350_Block3_Run4.vhdr', 'P4_S19/anonymized/auditoryAphasia_HP_350_Block3_Run5.vhdr', 'P4_S19/anonymized/auditoryAphasia_HP_350_Block3_Run6.vhdr', 'P4_S19/anonymized/auditoryAphasia_HP_350_Block4_Run1.vhdr']
Same preprocessing configurations as for the calibration data
------------------------- Feature extraction -------------------------
time_interval_boundaries: [0.1 0.2 0.3 0.4 0.5]
data_is_channel_prime: True
----------------------------------------------------------------------
n_online_trials: 114
n_online_epochs 8748
with the per-run iteration structure:
[[ 8 15  8 15 15 15]
 [15 15 15 15  8 15]
 [15 15 15 15  8 15]
 [15  8  8 15 15 15]
 [15  8 15 15 15  8]
 [15 15 15  8 15 15]
 [ 8 15 10 14 15 11]
 [15  8 15 15 15 15]
 [15 15 15 15 15  8]
 [ 8  8 15  8 10 15]
 [15 15 15 15  8 15]
 [ 8 11 15 15 13 15]
 [ 8 10  8 15 15  8]
 [15 15 15  9  8 15]
 [15  9  8 15  8 15]
 [ 8 15  8 15 15 15]
 [15 15 15  8 15 15]
 [15  8 10  8 15 15]
 [15 15  9  8 15 15]]
Online simulation starts
Number of online trials: 114, which is 19.0 runs
------------------ Run 1 Trial 1  (total trials: 1/114) ------------------
{epoch} | {word_id} | {LDA} 				| {SLDA} 				| {BTLDA} 
0 	| [105] 	| -2.0004162278616806 	| -2.0336504363235948 	| -2.0421896251515173
1 	| [103] 	| -1.8273953957397475 	| -1.9308723474348215 	| -1.8472347706538703
2 	| [104] 	| -2.0927202591596545 	| -1.977527896415713 	| -2.018137807479797
3 	| [101] 	| -1.8351725992853551 	| -1.9097633735884596 	| -1.816136805511382
4 	| [106] 	| -2.9869294563006417 	| -2.4401202577300722 	| -2.3596291436549617
5 	| [112] 	| 0.5846283401169108 	| 0.16638607987459286 	| 0.41899805459622264
6 	| [104] 	| -3.0157493118147567 	| -2.7579457786819948 	| -2.6610283360670435
7 	| [105] 	| -3.441265808376502 	| -3.2008532186812353 	| -3.284199427427996
8 	| [106] 	| -1.036374653964406 	| -1.3290181415160072 	| -1.2219442150146986
9 	| [103] 	| -1.6938675024214156 	| -1.8622409772910944 	| -1.7417172586280683
10 	| [101] 	| -1.893664047806831 	| -2.0247758037320036 	| -1.9927457843513907
11 	| [112] 	| -1.1286428472697005 	| -0.9296582635376255 	| -0.8758671166133715
12 	| [105] 	| -1.2840136506695972 	| -1.3962398746412221 	| -1.533592167232889
13 	| [106] 	| -2.929996709687756 	| -2.933604132230025 	| -3.0766141614891485
14 	| [103] 	| -1.6746418476446165 	| -1.5336404826509757 	| -1.677690480462389
15 	| [101] 	| 0.10191538320871141 	| -0.07477053834085878 	| -0.025880355169276947
16 	| [112] 	| -1.319719015938038 	| -1.2441028048041085 	| -1.1986604972764034
17 	| [104] 	| -2.764495861735363 	| -2.6819960213854483 	| -2.828861313491656
18 	| [105] 	| -1.9818688146255499 	| -2.0402908174297436 	| -1.9914602419234784
19 	| [106] 	| -3.21062990133439 	| -2.4132819088543496 	| -2.499383371591112
20 	| [103] 	| -1.3610613583249604 	| -1.7392779188504233 	| -1.5005714690225105
21 	| [112] 	| -0.11614968852350183 	| -0.45876131380581286 	| -0.26000929046046345
22 	| [104] 	| -2.6527008892970207 	| -2.142982417078129 	| -2.3736340753139418
23 	| [101] 	| -2.082869207242074 	| -2.050445281691157 	| -2.222817155602116
24 	| [103] 	| -2.23650888314887 	| -1.9084017602439092 	| -1.9182245950680878
25 	| [106] 	| -1.426400795349683 	| -1.4786461174139653 	| -1.7103175583211083
26 	| [104] 	| 0.09081445662728349 	| -0.35679028735521157 	| -0.40924821234605063
27 	| [112] 	| -1.5573987347904843 	| -1.5361663167218982 	| -1.4335602774620517
28 	| [105] 	| -2.276936961325351 	| -2.359421873088652 	| -2.5435315249196657
29 	| [101] 	| -1.861322403756227 	| -1.9301302662367987 	| -1.8899447731389152
30 	| [106] 	| -1.884171472056625 	| -1.7770083697725843 	| -1.5494048871713266
31 	| [112] 	| -2.4189635655253685 	| -2.2407894745566543 	| -2.4519055912532313
32 	| [105] 	| -0.7087488859151179 	| -0.7677571166293791 	| -0.8987240865505411
33 	| [103] 	| -1.1818410768212417 	| -1.3522871820790892 	| -1.3788072475721151
34 	| [101] 	| -2.2751935770145177 	| -2.3670150916134745 	| -2.3754538654786748
35 	| [104] 	| -2.4555125563911737 	| -2.2567358182678907 	| -2.197127449496561
36 	| [105] 	| -2.0207207131453124 	| -1.9356269721932142 	| -1.7580422004113885
37 	| [106] 	| -1.706867293613872 	| -1.7718227339954957 	| -1.9582128333900948
38 	| [101] 	| -1.0564980399712132 	| -1.4188870836338972 	| -1.1535985665336845
39 	| [103] 	| -2.2827799019656556 	| -2.026490237607396 	| -1.8539271696839175
40 	| [112] 	| -0.37643941504392764 	| -0.437249986734878 	| -0.667294633285599
41 	| [104] 	| -2.1037001029622537 	| -2.0831023456579754 	| -2.1584305673021174
42 	| [101] 	| -2.4991087442076836 	| -2.3372893641780683 	| -2.335907315762281
43 	| [103] 	| -1.318645844361553 	| -1.414550275860531 	| -1.3394107331368237
44 	| [106] 	| -2.527415249584082 	| -2.275528377794883 	| -2.1335438166413674
45 	| [105] 	| -1.790291814097716 	| -1.843090333440193 	| -2.067162804739459
46 	| [112] 	| -0.987939266797006 	| -0.8955228482874092 	| -0.6796219647773123
47 	| [104] 	| -1.2525511180829465 	| -1.368625359637237 	| -1.6083772996609431
------------------ End of trial ------------------
{real_word} | {LDA_prediction} 	| {SLDA_prediction} 	| {BTLDA_prediction} 
2 			| 2 				| 2 					| 2 
------------------ Run 1 Trial 2  (total trials: 2/114) ------------------
{epoch} | {word_id} | {LDA} 				| {SLDA} 				| {BTLDA} 
48 	| [101] 	| -1.6626743114404892 	| -1.889050720333901 	| -2.1228768378464937
49 	| [104] 	| -2.3255727237629107 	| -2.2223026623826247 	| -2.121215178052487
50 	| [105] 	| -1.3063985331261767 	| -1.3264019235814901 	| -1.1087344635089058
51 	| [102] 	| -0.6707700777798111 	| -0.8127952370907922 	| -0.7531922707930505
52 	| [113] 	| -3.1622291664076885 	| -3.071569841912043 	| -3.029013258841469
53 	| [106] 	| -3.085590491987176 	| -2.886649343452092 	| -2.7886011537378765
54 	| [104] 	| -1.0055630392436181 	| -1.0798558220316035 	| -1.0618376740153526
55 	| [101] 	| -1.1187995814844156 	| -1.2865680386525535 	| -1.3044996659077022
56 	| [102] 	| -1.474416433585991 	| -1.2831471783600945 	| -1.4280516200586453
57 	| [113] 	| -2.367181739545728 	| -2.3859009182662034 	| -2.4209132400668474
58 	| [105] 	| -2.0244814168889396 	| -2.14273567933946 	| -2.394938308537296
59 	| [106] 	| -0.7206044608473536 	| -0.9633374523964692 	| -0.8723649132751057
60 	| [102] 	| -2.285627733027226 	| -2.3267192498588845 	| -1.999663148851563
61 	| [104] 	| -2.305840358593006 	| -2.064710086355429 	| -2.2695703992744662
62 	| [101] 	| -2.4441524107179182 	| -2.231672562437538 	| -2.3664904254612216
