New log file - 2025-05-26 03:06:17
================================ Calibration ================================
Calibration data filenames: ['P4_S13/anonymized/auditoryAphasia_01HP_450_Block1_Run1.vhdr', 'P4_S13/anonymized/auditoryAphasia_02HP_450_Block1_Run2.vhdr', 'P4_S13/anonymized/auditoryAphasia_03HP_400_Block1_Run3.vhdr', 'P4_S13/anonymized/auditoryAphasia_HP_350_Block1_Run4.vhdr', 'P4_S13/anonymized/auditoryAphasia_HP_350_Block1_Run5.vhdr', 'P4_S13/anonymized/auditoryAphasia_HP_350_Block1_Run6.vhdr', 'P4_S13/anonymized/auditoryAphasia_HP_350_Block2_Run1.vhdr', 'P4_S13/anonymized/auditoryAphasia_HP_350_Block2_Run2.vhdr', 'P4_S13/anonymized/auditoryAphasia_HP_350_Block2_Run3.vhdr', 'P4_S13/anonymized/auditoryAphasia_HP_350_Block2_Run4.vhdr', 'P4_S13/anonymized/auditoryAphasia_HP_350_Block2_Run5.vhdr', 'P4_S13/anonymized/auditoryAphasia_HP_350_Block2_Run6.vhdr', 'P4_S13/anonymized/auditoryAphasia_HP_350_Block3_Run1.vhdr', 'P4_S13/anonymized/auditoryAphasia_HP_350_Block3_Run2.vhdr', 'P4_S13/anonymized/auditoryAphasia_HP_350_Block3_Run3.vhdr', 'P4_S13/anonymized/auditoryAphasia_HP_350_Block3_Run4.vhdr', 'P4_S13/anonymized/auditoryAphasia_HP_350_Block3_Run5.vhdr']
------------------------- Preprocessing configurations -------------------------
filter_band: (0.5, 16)
non_eeg_channels: ['EOGvu', 'x_EMGl', 'x_GSR', 'x_Respi', 'x_Pulse', 'x_Optic']
decimate: 10
montage: standard_1020
filter_method: iir
only_eeg: True
tmin: -0.2
tmax: 1
baseline: None
channels_to_discard: ['AF7', 'AF3', 'AF4', 'AF8', 'F5', 'F1', 'F2', 'F6', 'FT7', 'FC3', 'FCz', 'FC4', 'FT8', 'C5', 'C1', 'C2', 'C6', 'TP7', 'CP3', 'CPz', 'CP4', 'TP8', 'P5', 'P1', 'P2', 'P6', 'PO7', 'PO5', 'POz', 'PO6', 'PO8', 'Oz']
channels: ['Fp1', 'Fp2', 'F3', 'F4', 'C3', 'C4', 'P3', 'P4', 'O1', 'O2', 'F7', 'F8', 'T7', 'T8', 'P7', 'P8', 'Fz', 'Cz', 'Pz', 'FC1', 'FC2', 'CP1', 'CP2', 'FC5', 'FC6', 'CP5', 'CP6', 'F9', 'F10', 'P9', 'P10']
fs: 100.0
------------------------- Feature extraction -------------------------
time_interval_boundaries: [0.1 0.2 0.3 0.4 0.5]
data_is_channel_prime: True
X.shape (epochs, features): (8724, 124)
y.shape (epochs,): (8724,)
----------------------------------------------------------------------
n_calibration_trials: 102
n_calibration_epochs: 8724
with the per-run iteration structure:
[[15 15 15 15 15 15]
 [15 15  8 15 15 15]
 [15  8 15 15 15 15]
 [15 15 15  8 15 15]
 [15 15 15 15 15 15]
 [15 15 15 15 15 15]
 [15 15 15 15 15 15]
 [15 15 15 15 15 15]
 [12 15  8 15 15 15]
 [ 8 15 15 15 15 15]
 [15 15 15 11 15 15]
 [15 15 15 15 10 15]
 [15 15 15 15 13 15]
 [15  8 15 15 15 15]
 [15  8 15 15 15 15]
 [ 8 15 15 15 15 15]
 [15 15 15  9 15 15]]
Trained all three classifiers on the calibration data.
================================ Online ================================
Online data filenames: ['P4_S14/anonymized/auditoryAphasia_HP_350_Block1_Run1.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block1_Run2.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block1_Run3.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block1_Run4.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block1_Run5.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block1_Run6.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block2_Run1.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block2_Run2.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block2_Run3.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block2_Run4.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block2_Run5.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block2_Run6.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block3_Run1.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block3_Run2.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block3_Run3.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block3_Run4.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block3_Run5.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block3_Run6.vhdr', 'P4_S14/anonymized/auditoryAphasia_HP_350_Block4_Run1.vhdr']
Same preprocessing configurations as for the calibration data
------------------------- Feature extraction -------------------------
time_interval_boundaries: [0.1 0.2 0.3 0.4 0.5]
data_is_channel_prime: True
----------------------------------------------------------------------
n_online_trials: 114
n_online_epochs 9816
with the per-run iteration structure:
[[15 15 15 15 15 15]
 [15  8  8 15 15 15]
 [11 15 15 15 15 15]
 [15 15 15 15 15 15]
 [13 15 15 15 15 15]
 [15 15 15 15 15 14]
 [15 15 15 15 15 15]
 [15 15 15 15 15 15]
 [15 15 15 15 15  8]
 [12 13  8 15 15 15]
 [15  8 15 15 15 15]
 [15  8 15 15 15 15]
 [15  8 15 15 15 15]
 [15 15 15 12 12 15]
 [15 15 15 15 15  9]
 [15 15 15 15 15 15]
 [14 15 15 15 15 15]
 [15 15 15 15 15 15]
 [15 15 15 15 15 15]]
Online simulation starts
Number of online trials: 114, which is 19.0 runs
------------------ Run 1 Trial 1  (total trials: 1/114) ------------------
{epoch} | {word_id} | {LDA} 				| {SLDA} 				| {BTLDA} 
0 	| [101] 	| -2.8351246587339523 	| -2.3860946174861475 	| -2.4585224995877555
1 	| [106] 	| -1.003367489692201 	| -1.0030966282973721 	| -0.8445003523716755
2 	| [114] 	| -1.5490977125289715 	| -1.3250394719371235 	| -1.2345947308599834
3 	| [103] 	| -2.1743673518447384 	| -2.0142896301066378 	| -2.25621827894512
4 	| [105] 	| -2.0850186446940344 	| -2.100640869556444 	| -2.20253343407972
5 	| [102] 	| -1.755938032233095 	| -1.7383503644158222 	| -1.7647553966464982
6 	| [106] 	| -1.5706996176878953 	| -1.5217616243407448 	| -1.5905285488851635
7 	| [114] 	| -1.5338007973739227 	| -1.650535441386914 	| -1.5374157268243702
8 	| [103] 	| -2.237792563453719 	| -2.037811886330953 	| -2.172956096153044
9 	| [105] 	| -1.605937760855592 	| -1.6651930341886039 	| -1.6505444747606446
10 	| [102] 	| -2.148730620676074 	| -1.843096889807572 	| -1.8543324375864254
11 	| [101] 	| -2.1833058583838763 	| -2.11442257326277 	| -2.166167096408717
12 	| [103] 	| -1.4117321910498344 	| -1.5210157812478946 	| -1.7005627282129434
13 	| [105] 	| -1.3909924209744517 	| -1.4141136903093612 	| -1.3035493419089546
14 	| [106] 	| -1.6957805547583018 	| -1.4137812694436327 	| -1.5364552332464703
15 	| [101] 	| -2.233037213564897 	| -2.257160078479825 	| -2.3841208769305027
16 	| [102] 	| -0.898237903181125 	| -0.9341378052999595 	| -0.8336306720441223
17 	| [114] 	| -2.6345388646440613 	| -2.3945135713120496 	| -2.4452820797080355
18 	| [103] 	| -1.4195425113522262 	| -1.4150708505113023 	| -1.3709866988817132
19 	| [105] 	| -1.9285162928254058 	| -2.118811738983508 	| -2.174109425109733
20 	| [102] 	| -1.418475209898102 	| -1.3700195707686926 	| -1.502443355905711
21 	| [114] 	| -1.3284083696307825 	| -1.5898141394120278 	| -1.6337299611246958
22 	| [106] 	| -1.3680683348489806 	| -1.7100747334950452 	| -1.638318523050864
23 	| [101] 	| -1.9311259664333922 	| -1.7425955334028582 	| -1.8028054194948866
24 	| [102] 	| -1.904900844744102 	| -1.7917120433236418 	| -1.8549713630683815
25 	| [103] 	| -1.2814988132558371 	| -1.3318938308615207 	| -1.2409735484434063
26 	| [105] 	| -2.298409062743187 	| -2.1793233071264018 	| -2.2589624927343346
27 	| [101] 	| -2.2646067809092023 	| -2.1372218595842027 	| -2.1213290023867195
28 	| [106] 	| -1.1288501384880743 	| -1.111060278539651 	| -1.0454416767754697
29 	| [114] 	| -1.21246779996812 	| -1.2848251633866103 	| -1.2816469001096378
30 	| [102] 	| -1.8268098522128244 	| -1.9254015037054528 	| -1.9331572730019166
31 	| [101] 	| -1.9346708283970036 	| -1.8060096232320866 	| -2.063596916600385
32 	| [106] 	| -1.037663657889044 	| -1.1965027267346595 	| -1.1080490709155288
33 	| [105] 	| -1.7749213974509574 	| -1.6538184411355012 	| -1.677926203452433
34 	| [103] 	| -1.587130353855527 	| -1.6464015726469867 	| -1.7108910649988562
35 	| [114] 	| -2.397998742818046 	| -2.075211173837099 	| -2.1937927805164312
36 	| [106] 	| -1.696843496099637 	| -1.4995216403215235 	| -1.417603701439316
37 	| [101] 	| -2.2676632760330584 	| -2.077743658610337 	| -2.171463355966007
38 	| [105] 	| -1.116267519085031 	| -1.23079021013148 	| -1.3220938348851137
39 	| [102] 	| -1.492842106242164 	| -1.5737040829597326 	| -1.5473942955178397
40 	| [114] 	| -1.559076088009947 	| -1.6017636760876681 	| -1.663704159882327
41 	| [103] 	| -2.5817286657515783 	| -2.2549890455653103 	| -2.410282510993233
42 	| [106] 	| -0.7688951625807053 	| -0.9740648997502672 	| -0.8621915245780332
43 	| [105] 	| -2.623148230034354 	| -2.4947370627087793 	| -2.5680690515990507
44 	| [114] 	| -1.676924671617613 	| -1.6873801763775689 	| -1.7399212523672185
45 	| [102] 	| -0.7119845693766542 	| -0.9197365001359334 	| -0.8262022818916088
46 	| [103] 	| -2.354577186685141 	| -2.1987727587729866 	| -2.2799003791030685
47 	| [101] 	| -2.2610323547457662 	| -2.206703525096052 	| -2.2150680884180236
48 	| [105] 	| -1.820412952579861 	| -1.83354752470748 	| -1.854044210430088
49 	| [102] 	| -0.27778601558546145 	| -0.44680792259252033 	| -0.3035665564302106
50 	| [106] 	| -1.7846564429643523 	| -1.9367608044456797 	| -1.8853082700770134
51 	| [114] 	| -2.258391621049092 	| -2.210360159876564 	| -2.3467310452515773
52 	| [103] 	| -1.8675400684398218 	| -1.5899222932677468 	| -1.6224566583564597
53 	| [101] 	| -1.8795839761490483 	| -1.8282713281956489 	| -1.8039365561653693
54 	| [102] 	| -1.4564456815343187 	| -1.4659486347697983 	| -1.2625095773804458
55 	| [105] 	| -1.9732903325029258 	| -1.9457461126083813 	| -1.9882344540085786
56 	| [103] 	| -1.3150877062728963 	| -1.588448993209478 	| -1.5948868793452111
57 	| [114] 	| -1.0914949956972915 	| -1.2883447721401948 	| -1.4146722331054673
58 	| [101] 	| -1.7805000813237464 	| -1.7674570307633453 	| -1.749460942805435
59 	| [106] 	| -1.457653300433235 	| -1.51969450487381 	| -1.613143608552224
60 	| [102] 	| -1.8899584578683273 	| -1.818688034950443 	| -1.9081577220133386
61 	| [105] 	| -1.6401810446116663 	| -1.8067728282790652 	| -1.8218424591069884
62 	| [114] 	| -1.1895994737504791 	| -1.1113523982299378 	| -1.0476180297135524
63 	| [106] 	| -1.2284564802007352 	| -1.3866541552379985 	| -1.435718157533584
64 	| [103] 	| -1.436757864055241 	| -1.4937349628322496 	| -1.4133650569010627
