New log file - 2025-05-26 01:33:19
================================ Calibration ================================
Calibration data filenames: ['P5_S7/anonymized/auditoryAphasia_6D_250_Block1_Run1.vhdr', 'P5_S7/anonymized/auditoryAphasia_6D_250_Block1_Run2.vhdr', 'P5_S7/anonymized/auditoryAphasia_6D_250_Block1_Run3.vhdr', 'P5_S7/anonymized/auditoryAphasia_6D_250_Block1_Run4.vhdr', 'P5_S7/anonymized/auditoryAphasia_6D_250_Block1_Run5.vhdr', 'P5_S7/anonymized/auditoryAphasia_6D_250_Block1_Run6.vhdr', 'P5_S7/anonymized/auditoryAphasia_6D_250_Block2_Run1.vhdr', 'P5_S7/anonymized/auditoryAphasia_6D_250_Block2_Run2.vhdr', 'P5_S7/anonymized/auditoryAphasia_6D_250_Block2_Run3.vhdr', 'P5_S7/anonymized/auditoryAphasia_6D_250_Block2_Run4.vhdr', 'P5_S7/anonymized/auditoryAphasia_6D_250_Block2_Run5.vhdr', 'P5_S7/anonymized/auditoryAphasia_6D_250_Block2_Run6.vhdr', 'P5_S7/anonymized/auditoryAphasia_6D_250_Block3_Run1.vhdr', 'P5_S7/anonymized/auditoryAphasia_6D_250_Block3_Run2.vhdr', 'P5_S7/anonymized/auditoryAphasia_6D_250_Block3_Run3.vhdr', 'P5_S7/anonymized/auditoryAphasia_6D_250_Block3_Run4.vhdr', 'P5_S7/anonymized/auditoryAphasia_6D_250_Block3_Run5.vhdr', 'P5_S7/anonymized/auditoryAphasia_6D_250_Block3_Run6.vhdr', 'P5_S7/anonymized/auditoryAphasia_6D_250_Block4_Run1.vhdr', 'P5_S7/anonymized/auditoryAphasia_6D_250_Block4_Run2.vhdr', 'P5_S7/anonymized/auditoryAphasia_6D_250_Block4_Run3.vhdr', 'P5_S7/anonymized/auditoryAphasia_6D_250_Block4_Run4.vhdr', 'P5_S7/anonymized/auditoryAphasia_6D_250_Block4_Run5.vhdr', 'P5_S7/anonymized/auditoryAphasia_6D_250_Block4_Run6.vhdr', 'P5_S7/anonymized/auditoryAphasia_6D_250_Block5_Run1.vhdr', 'P5_S7/anonymized/auditoryAphasia_6D_250_Block5_Run2.vhdr', 'P5_S7/anonymized/auditoryAphasia_6D_250_Block5_Run3.vhdr', 'P5_S7/anonymized/auditoryAphasia_6D_250_Block5_Run4.vhdr']
------------------------- Preprocessing configurations -------------------------
filter_band: (0.5, 16)
non_eeg_channels: ['EOGvu', 'x_EMGl', 'x_GSR', 'x_Respi', 'x_Pulse', 'x_Optic']
decimate: 10
montage: standard_1020
filter_method: iir
only_eeg: True
tmin: -0.2
tmax: 1
baseline: None
channels_to_discard: ['AF7', 'AF3', 'AF4', 'AF8', 'F5', 'F1', 'F2', 'F6', 'FT7', 'FC3', 'FCz', 'FC4', 'FT8', 'C5', 'C1', 'C2', 'C6', 'TP7', 'CP3', 'CPz', 'CP4', 'TP8', 'P5', 'P1', 'P2', 'P6', 'PO7', 'PO5', 'POz', 'PO6', 'PO8', 'Oz']
channels: ['Fp1', 'Fp2', 'F3', 'F4', 'C3', 'C4', 'P3', 'P4', 'O1', 'O2', 'F7', 'F8', 'T7', 'T8', 'P7', 'P8', 'Fz', 'Cz', 'Pz', 'FC1', 'FC2', 'CP1', 'CP2', 'FC5', 'FC6', 'CP5', 'CP6', 'F9', 'F10', 'P9', 'P10']
fs: 100.0
------------------------- Feature extraction -------------------------
time_interval_boundaries: [0.1 0.2 0.3 0.4 0.5]
data_is_channel_prime: True
X.shape (epochs, features): (14520, 124)
y.shape (epochs,): (14520,)
----------------------------------------------------------------------
n_calibration_trials: 168
n_calibration_epochs: 14520
with the per-run iteration structure:
[[15 15 15 15 15 15]
 [15 15 13 15 15 14]
 [15 15 15 15 11 15]
 [15 15 15 15 15 14]
 [ 8 15 15 15 15 15]
 [15 15 15 15 15 12]
 [15 15 15 10 15 15]
 [15 11 15 15 12 15]
 [14 13 15 15  9 15]
 [15 15 15 15 15 15]
 [15  9 15 15 15 14]
 [14 15 15 13 15 13]
 [12 15 12 15 15 15]
 [15 15 15 15 15 15]
 [13 15 15 15 15 12]
 [15 15 15 13 15 15]
 [15 14 11  9 15 15]
 [15 15 15 15 15 15]
 [15 15 15 15 15 15]
 [15 15 15 15 15 15]
 [15 15 14 15 15 15]
 [15 15 15 15 15 15]
 [15 15 15 15 15 15]
 [15 15 15 15 15 15]
 [15 15  8 15 15 15]
 [14 15 15  9 14 15]
 [15 15 15 15 15 15]
 [15 15 11 10 15 15]]
Trained all three classifiers on the calibration data.
================================ Online ================================
Online data filenames: ['P5_S8/anonymized/auditoryAphasia_HP_350_Block1_Run1.vhdr', 'P5_S8/anonymized/auditoryAphasia_HP_350_Block1_Run2.vhdr', 'P5_S8/anonymized/auditoryAphasia_HP_350_Block1_Run3.vhdr', 'P5_S8/anonymized/auditoryAphasia_HP_350_Block1_Run4.vhdr', 'P5_S8/anonymized/auditoryAphasia_HP_350_Block1_Run5.vhdr', 'P5_S8/anonymized/auditoryAphasia_HP_350_Block1_Run6.vhdr', 'P5_S8/anonymized/auditoryAphasia_HP_350_Block2_Run1.vhdr', 'P5_S8/anonymized/auditoryAphasia_HP_350_Block2_Run2.vhdr', 'P5_S8/anonymized/auditoryAphasia_HP_350_Block2_Run3.vhdr', 'P5_S8/anonymized/auditoryAphasia_HP_350_Block2_Run4.vhdr', 'P5_S8/anonymized/auditoryAphasia_HP_350_Block2_Run5.vhdr', 'P5_S8/anonymized/auditoryAphasia_HP_350_Block2_Run6.vhdr', 'P5_S8/anonymized/auditoryAphasia_HP_350_Block3_Run1.vhdr', 'P5_S8/anonymized/auditoryAphasia_HP_350_Block3_Run2.vhdr']
Same preprocessing configurations as for the calibration data
------------------------- Feature extraction -------------------------
time_interval_boundaries: [0.1 0.2 0.3 0.4 0.5]
data_is_channel_prime: True
----------------------------------------------------------------------
n_online_trials: 84
n_online_epochs 6372
with the per-run iteration structure:
[[15 15 15 15 15 15]
 [ 8 15 13 15 15  8]
 [ 8 11 15 14 15 15]
 [15 15 15  8 13 15]
 [11  8 15 15 15 15]
 [15  8  8  8 15 14]
 [15  8 15 15 15 10]
 [15 15 15 15 13 15]
 [10 15 15 15 13 15]
 [15 10  8 15  8  8]
 [ 8 15  8  8 15  9]
 [15 15  8 15  9 15]
 [ 8 11  9 15 12  8]
 [ 8  8 15 15 15 15]]
Online simulation starts
Number of online trials: 84, which is 14.0 runs
------------------ Run 1 Trial 1  (total trials: 1/84) ------------------
{epoch} | {word_id} | {LDA} 				| {SLDA} 				| {BTLDA} 
0 	| [103] 	| -3.6894989424747995 	| -3.4434477680527205 	| -3.2701133997690683
1 	| [106] 	| -3.458168377109775 	| -3.5647123075434513 	| -3.6275636788636394
2 	| [101] 	| -1.2450440894798545 	| -1.1520214971315426 	| -0.9488122374657693
3 	| [105] 	| -1.9422648801230569 	| -1.3013532770071483 	| -1.1039904128185476
4 	| [102] 	| -2.776356718801808 	| -2.5152342933821505 	| -2.6957479286142747
5 	| [114] 	| -3.547702811238555 	| -2.620303106766722 	| -3.076510774860166
6 	| [103] 	| -2.8597379651112074 	| -2.4503331296827606 	| -2.5969978511628087
7 	| [101] 	| -0.09476412929934375 	| -0.6186777099073133 	| -0.6925483252604485
8 	| [106] 	| -1.76735595964701 	| -2.2190016512883783 	| -1.9264057438375757
9 	| [102] 	| -2.1992319458361296 	| -1.5656486917915666 	| -1.8744228307641575
10 	| [114] 	| -0.7398792756704495 	| -0.4968720712863517 	| -0.738700404128936
11 	| [105] 	| -5.161710789662831 	| -4.675453057027514 	| -4.720578280988723
12 	| [103] 	| -4.456095152492193 	| -4.030301673040025 	| -3.958913403194081
13 	| [102] 	| -0.6809652171603311 	| -0.869035805688994 	| -0.8669595939603094
14 	| [106] 	| -0.5176404343424417 	| -0.4329654810368022 	| -0.5481925214451729
15 	| [114] 	| -0.6529934581137011 	| -0.8694344741691729 	| -1.1957085282411386
16 	| [101] 	| -0.01942087199658804 	| -0.6827465589862605 	| -0.5692025706127342
17 	| [105] 	| -4.220574868636214 	| -3.995268970963617 	| -4.1626885329109165
18 	| [102] 	| -2.0676105152308826 	| -1.9690588454836628 	| -2.032886015399826
19 	| [106] 	| 2.002061453783845 	| 0.9989108624405243 	| 0.6994099288524198
20 	| [114] 	| -3.1726163557914964 	| -2.826503187656107 	| -2.9418233941488827
21 	| [101] 	| -0.7194126449195717 	| -1.4625413077678286 	| -1.4799390905194088
22 	| [105] 	| -2.347694669846399 	| -2.0487458567815104 	| -2.4896804194597966
23 	| [103] 	| -4.370686363234337 	| -3.248181268732775 	| -3.487299073790194
24 	| [102] 	| 2.4025319717594544 	| -0.3457661400641383 	| 0.2929070484576224
25 	| [101] 	| 0.5380143643939959 	| -0.23408142263411635 	| -0.1572300367542997
26 	| [106] 	| -1.856401730812013 	| -1.8856384389971261 	| -1.9692267941221409
27 	| [105] 	| -5.209986935845175 	| -4.917116942425985 	| -5.1837752655706195
28 	| [114] 	| -3.5706108758907975 	| -3.171140124938427 	| -3.1735606058199783
29 	| [103] 	| -2.0583478809067794 	| -2.051176905776964 	| -1.9626108185134141
30 	| [106] 	| -4.772842076207466 	| -4.2200351914453 	| -4.6682945746132685
31 	| [105] 	| -0.6703843897445352 	| -0.5408080924013463 	| -0.5856733761634945
32 	| [101] 	| -1.5086029632445843 	| -1.6664177983948623 	| -1.6329447779888586
33 	| [114] 	| -5.467384181853485 	| -4.351415933659185 	| -4.676684466594608
34 	| [103] 	| -3.2408650110997144 	| -2.0631606672496337 	| -2.0567547150208223
35 	| [102] 	| -3.6832165175669624 	| -3.3110779996380666 	| -3.5108790706959554
36 	| [105] 	| 0.9556078251974931 	| 0.48822393606851033 	| 0.38076897695649026
37 	| [106] 	| -0.3432871112267857 	| -1.1057800709159047 	| -1.4949914781935565
38 	| [114] 	| -2.5328342276791314 	| -2.5650027685931223 	| -2.8082348663361136
39 	| [103] 	| -3.3427126090533994 	| -3.3686721932975505 	| -3.6841571937309427
40 	| [101] 	| -1.4846034347676054 	| -1.2875589142144697 	| -1.1855397767638047
41 	| [102] 	| -2.946770661351538 	| -3.0709383097312326 	| -3.003323228757088
42 	| [114] 	| -3.1846307985581035 	| -2.7612224849022646 	| -2.7974870945076216
43 	| [105] 	| -5.199541623203499 	| -4.559867294967379 	| -5.046206762396368
44 	| [106] 	| -3.155319746325506 	| -3.2152236123849995 	| -3.292353844253254
45 	| [101] 	| -3.9656071011496894 	| -3.3083741582150594 	| -3.4555061425689986
46 	| [103] 	| -1.6236517443485894 	| -1.2085230914042029 	| -1.234056885155606
47 	| [102] 	| -4.1917014818723315 	| -3.002301931285488 	| -3.150189213634197
48 	| [106] 	| -5.502802410079398 	| -5.075563380065644 	| -5.1845414777964915
49 	| [114] 	| -4.008042339771503 	| -3.5369146069351274 	| -3.7472697308764915
50 	| [101] 	| 1.2621722723775277 	| 0.9283539573828281 	| 1.0864104188521426
51 	| [105] 	| -3.887739039885483 	| -3.2814360139268617 	| -3.110302503963572
52 	| [103] 	| -2.9952606771151493 	| -3.540619853756956 	| -3.3734566729369195
53 	| [102] 	| -7.020400708430943 	| -5.789589790785751 	| -6.003135772053996
54 	| [101] 	| -4.712975851446517 	| -3.3585594533041547 	| -3.438324619780109
55 	| [106] 	| 0.8913963731920718 	| 0.03082688078684237 	| 0.36743934460556416
56 	| [114] 	| -2.4383821584677277 	| -2.5293858464813006 	| -2.467271035975418
57 	| [103] 	| -4.719815429189337 	| -4.853983052253187 	| -5.372006239236409
58 	| [102] 	| -2.515021159116559 	| -2.1508712649602066 	| -2.1642622193239145
59 	| [105] 	| -0.389559484726298 	| -0.4169213493914392 	| -0.3858832164155537
60 	| [106] 	| -4.258559043494598 	| -3.7265751250429187 	| -3.74412207724774
61 	| [101] 	| -3.718891993668537 	| -3.9472345786442835 	| -4.3588788082049685
62 	| [114] 	| -3.1356013714484616 	| -3.2018094690777583 	| -2.9585730360029627
63 	| [105] 	| -3.6877733487634217 	| -3.3366353699885023 	| -3.668731516681562
64 	| [103] 	| -0.9200897641859149 	| -1.1738295551002083 	| -0.7979430673784851
65 	| [102] 	| -5.379249212146844 	| -5.015704464095796 	| -5.391669704082712
66 	| [106] 	| -2.9959370371108367 	| -3.1531011971058103 	| -3.016751373194893
67 	| [101] 	| -1.6416288102270038 	| -1.8602983540514821 	| -1.7910427491399572
68 	| [105] 	| 1.8781770284688348 	| 0.783041579049816 	| 1.001148118714432
69 	| [114] 	| -8.037955622448086 	| -6.634429949968802 	| -6.836438486423763
70 	| [102] 	| -1.1297121817144204 	| -1.2618843241362174 	| -1.274892215814705
71 	| [103] 	| -3.3967531468377823 	| -3.0126596094099694 	| -3.2851113443735755
72 	| [106] 	| -2.8742906054971242 	| -3.364990529996265 	| -3.412359593335974
